threshold,trades_count,reduction_pct,total_return,win_rate,sharpe,max_drawdown,filter_name
-1.0,462,0.0,-0.00712728989623846,0.48484848484848486,-0.047515265974923074,0.1780338480308937,No Filter
-0.05,406,12.121212121212121,0.0073290215591849265,0.5197044334975369,0.04886014372789951,0.08793183827938718,> -5%
-0.04,372,19.480519480519476,0.011047094763305456,0.5268817204301075,0.07364729842203638,0.0870246630907078,> -4%
-0.03,308,33.333333333333336,0.020937439178696785,0.5487012987012987,0.13958292785797857,0.05342375502481866,> -3%
-0.02,236,48.917748917748916,0.028481431043530885,0.5550847457627118,0.18987620695687257,0.05270035023556139,> -2%
-0.015,201,56.493506493506494,0.032888885581610315,0.5572139303482587,0.21925923721073545,0.04900714908932121,> -1.5%
-0.01,166,64.06926406926408,0.0403407927197815,0.5662650602409639,0.2689386181318767,0.026649614681478292,> -1%
-0.005,152,67.09956709956711,0.04116260450854006,0.5723684210526315,0.2744173633902671,0.026649614681478292,> -0.5%
0.0,136,70.56277056277057,0.03860756163033419,0.5514705882352942,0.257383744202228,0.026649614681478292,> 0%
0.005,123,73.37662337662339,0.03956590853355376,0.5609756097560976,0.2637727235570251,0.026649614681478292,> 0.5%
0.01,111,75.97402597402598,0.03737226852668674,0.5405405405405406,0.2491484568445783,0.026649614681478292,> 1%
0.02,89,80.73593073593074,0.03658064839709084,0.550561797752809,0.24387098931393894,0.026649614681478292,> 2%
