high_percentile,low_percentile,lookback_window,index_total_return,index_annual_return,index_volatility,index_max_drawdown,index_sharpe,index_calmar,strategy_total_return,strategy_annual_return,strategy_volatility,strategy_max_drawdown,strategy_sharpe,strategy_calmar,excess_total_return,excess_annual_return,avg_position_size,total_days
90,10,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.9756709024225647,0.12163368069677083,0.0853620633175389,-0.09879902936150103,1.4249149560069196,1.2311222233947146,-0.6764143327687284,-0.024446050864887825,0.5421888053467001,2394
80,10,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.683057521742052,0.10947864038502586,0.08168700689936749,-0.09880223447690974,1.3402209793277855,1.1080583446785428,-0.9690277134492411,-0.036601091176632794,0.5071010860484545,2394
90,20,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.9420647052561115,0.12029349084384444,0.09142373148263,-0.16206749033969073,1.3157797094149404,0.7422431888820596,-0.7100205299351816,-0.025786240717814213,0.5808270676691729,2394
90,10,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.4865486705586215,0.10334738144153244,0.07869318709116244,-0.0976019219927976,1.3132951563114257,1.0588662531579942,-1.1282654318233125,-0.04548341348979834,0.5244215938303342,2334
90,30,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,2.0106085991759914,0.12301268773217644,0.09678695109247654,-0.17339701345805247,1.2709635580383365,0.7094279496453679,-0.6414766360153017,-0.023067043829482214,0.6109022556390977,2394
70,10,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.4894720336684664,0.10076725058078573,0.0799819303802272,-0.09831276545756495,1.259875200582768,1.024966087687567,-1.1626132015228268,-0.04531248098087293,0.4778613199665831,2394
70,10,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.2249075834099328,0.0901819305463567,0.07235750047670082,-0.10074290212688285,1.2463383885875847,0.8951690753634941,-1.3899065189720012,-0.058648864384974075,0.4640102827763496,2334
90,30,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.7144756976923903,0.11384485969818892,0.09218494108507928,-0.12147921191285087,1.2349615713603295,0.9371550729178353,-0.9003384046895437,-0.03498593523314186,0.6171808054841473,2334
80,20,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.6527559988111578,0.10815297404540747,0.08800184824146086,-0.16173872246522678,1.2289852566352428,0.6686894294510083,-0.9993292363801354,-0.037926757516251186,0.5457393483709273,2394
90,20,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.5114211392345576,0.10453370779034654,0.08544851303367362,-0.11643488877938826,1.2233531524317083,0.8977868136105567,-1.1033929631473764,-0.04429708714098424,0.5728363324764353,2334
80,30,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.7145596108979224,0.11084270324891299,0.09356282096077477,-0.17505739521985197,1.1846874870883022,0.6331792102224947,-0.9375256242933707,-0.035237028312745666,0.5758145363408521,2394
90,20,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.3521889949161303,0.10283821455620168,0.08686588797992408,-0.107348583971834,1.1838734047128954,0.9579838946285891,-0.8931762364254454,-0.041382296048863676,0.5756130790190735,2202
90,30,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.4611143147975336,0.10856630961285973,0.09333061938019593,-0.10815844186430257,1.16324428503575,1.0037710209349067,-0.7842509165440421,-0.03565420099220562,0.6196639418710264,2202
70,30,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.4288515387961298,0.10055414994362266,0.08684530735588866,-0.1336217194408825,1.1578535790259306,0.7525284838750355,-1.1859625635858042,-0.04827664498770812,0.5567694944301628,2334
70,20,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.461356798231742,0.09945199309070629,0.08642120925067827,-0.1620040044919807,1.1507822437687742,0.6138860172165017,-1.1907284369595512,-0.04662773847095236,0.516499582289056,2394
70,20,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.2471629065534016,0.09135410131592803,0.07965299982263509,-0.1305095099988167,1.1469009518705888,0.6999804176473907,-1.3676511958285325,-0.05747669361540275,0.5124250214224507,2334
70,20,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.1018347448677699,0.08872610681168958,0.0785424260729712,-0.0840560358168342,1.129658341967398,1.0555590202354046,-1.1435304864738058,-0.05549440379337578,0.4950045413260672,2202
80,10,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.137800034508103,0.0854910966963005,0.07595663045885132,-0.09859116097024474,1.1255251342753334,0.8671273961577763,-1.477014067873831,-0.06333969823503027,0.49014567266495285,2334
70,30,60,2.652085235191293,0.14607973156165865,0.1813152890936144,-0.3371727560591252,0.8056669257838296,0.4332489174660444,1.5187012131848054,0.1021206031138091,0.0920787077453943,-0.17333438599018933,1.1090577356513465,0.5891537477139077,-1.1333840220064877,-0.04395912844784955,0.5465747702589808,2394
90,10,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.0654534428291158,0.08655273638031402,0.07830014534823115,-0.10063842469060506,1.105396880112807,0.8600366773069532,-1.17991178851246,-0.057667774224751334,0.5138510445049954,2202
70,30,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.1991666439700142,0.0943809041774053,0.08564144005806328,-0.09440435066039703,1.1020471411201964,0.9997516376858936,-1.0461985873715616,-0.049839606427660055,0.53905540417802,2202
80,30,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.3337593624879647,0.09581868651708358,0.08986796288710545,-0.13131347073231736,1.0662162959836263,0.729694265049243,-1.2810547398939693,-0.053012108414247194,0.5829048843187661,2334
70,10,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,0.8456177711178305,0.07264902041952492,0.06893810996920796,-0.07826628684095947,1.0538295937033157,0.9282287860052811,-1.3997474602237452,-0.07157149018554043,0.4332425068119891,2202
80,20,120,2.614814102381934,0.14883079493133078,0.1827908813443818,-0.33717275605912517,0.8142134543950827,0.4414081276045697,1.1591840375735982,0.08665822385051714,0.08293644949315286,-0.12819296958489962,1.044875014304435,0.6759982558413637,-1.4556300648083358,-0.06217257108081364,0.538560411311054,2334
80,20,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.0082246730791624,0.08306436896537606,0.08183145897516549,-0.12340440518816057,1.0150664549508366,0.673107000019358,-1.2371405582624133,-0.0611561416396893,0.5331516802906449,2202
80,30,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,1.1012216709316691,0.08868975950410585,0.08866881076159787,-0.12430945801876997,1.0002362583001627,0.7134594657368246,-1.1441435604099066,-0.05553075110095951,0.5772025431425977,2202
80,10,252,2.2453652313415757,0.14422051060506536,0.1873828561720191,-0.33717275605912533,0.7696569128643747,0.4277347680480311,0.7634189148706749,0.06707088876940337,0.0726589642103722,-0.11681493928826468,0.9230917271984573,0.574163623061022,-1.4819463164709008,-0.07714962183566199,0.4713896457765668,2202
