transition_date,transition_type,from_state,to_state,transition_price,future_date,future_price,future_return,future_return_pct
2023-10-16,減倉（出場 100%）,過渡市場,危機市場,423.80242919921875,2024-01-11,464.8581848144531,0.0968747529192078,9.68747529192078
2023-10-17,加倉（進場 50%）,危機市場,過渡市場,423.7829284667969,2024-01-12,465.1802062988281,0.09768510020401801,9.7685100204018
2023-10-18,減倉（出場 100%）,過渡市場,危機市場,418.1360168457031,2024-01-16,463.4724426269531,0.10842506733396193,10.842506733396192
2023-10-26,加倉（進場 50%）,危機市場,過渡市場,400.9716491699219,2024-01-24,473.68011474609375,0.18133068940582336,18.133068940582337
2023-10-31,減倉（出場 100%）,過渡市場,危機市場,406.463134765625,2024-01-29,479.4182434082031,0.1794876395977351,17.94876395977351
2023-11-17,加倉（進場 50%）,危機市場,過渡市場,438.138427734375,2024-02-15,489.8991394042969,0.11813780393009085,11.813780393009084
2023-12-06,減倉（出場 100%）,過渡市場,危機市場,441.99700927734375,2024-03-05,494.9444274902344,0.11979134949229316,11.979134949229316
2023-12-07,加倉（進場 50%）,危機市場,過渡市場,445.36962890625,2024-03-06,497.45245361328125,0.11694291960351577,11.694291960351578
2024-03-20,加倉（進場 100%）,過渡市場,正常市場,509.5016784667969,2024-06-14,531.3314819335938,0.042845400495024034,4.284540049502404
2024-03-27,減倉（出場 50%）,正常市場,過渡市場,512.1349487304688,2024-06-24,533.0062255859375,0.04075347114506939,4.07534711450694
2024-07-05,加倉（進場 100%）,過渡市場,正常市場,544.6928100585938,2024-09-30,565.1981811523438,0.03764575319351873,3.764575319351873
2024-08-05,減倉（出場 50%）,正常市場,過渡市場,508.10101318359375,2024-10-29,573.0886840820312,0.12790305315717862,12.790305315717863
2024-10-10,減倉（出場 100%）,過渡市場,危機市場,567.5327758789062,2025-01-07,581.7978515625,0.02513524555740807,2.513524555740807
2024-10-29,加倉（進場 50%）,危機市場,過渡市場,573.0886840820312,2025-01-28,597.50341796875,0.04260201704353327,4.260201704353327
2025-04-03,減倉（出場 100%）,過渡市場,危機市場,532.0663452148438,2025-07-01,614.127685546875,0.15423140566971136,15.423140566971135
2025-07-02,加倉（進場 50%）,危機市場,過渡市場,616.9116821289062,2025-09-26,659.8701782226562,0.06963475865054805,6.963475865054805
2025-08-21,加倉（進場 100%）,過渡市場,正常市場,631.925537109375,2025-11-14,669.9503784179688,0.060172977788698435,6.017297778869843
2025-08-22,減倉（出場 50%）,正常市場,過渡市場,641.6299438476562,2025-11-17,663.7088012695312,0.03441057829919053,3.4410578299190533
2025-09-03,加倉（進場 100%）,過渡市場,正常市場,640.06884765625,2025-11-26,677.6775512695312,0.05875727861306424,5.875727861306424
2025-10-10,減倉（出場 50%）,正常市場,過渡市場,651.0960693359375,2026-01-07,689.5800170898438,0.059106404671059674,5.910640467105967
2025-11-05,加倉（進場 100%）,過渡市場,正常市場,675.583740234375,2026-02-03,689.530029296875,0.020643316634088502,2.06433166340885
2025-11-10,減倉（出場 50%）,正常市場,過渡市場,679.432373046875,2026-02-06,690.6199951171875,0.01646613042611181,1.6466130426111811
2025-11-11,加倉（進場 100%）,過渡市場,正常市場,680.9877319335938,2026-02-09,693.9500122070312,0.019034528326424407,1.9034528326424407
2025-11-12,減倉（出場 50%）,正常市場,過渡市場,681.3666381835938,2026-02-10,692.1199951171875,0.015782042047524297,1.5782042047524296
2025-11-18,加倉（進場 100%）,過渡市場,正常市場,658.1353149414062,2026-02-17,682.8499755859375,0.03755255201087575,3.7552552010875746
2025-11-20,減倉（出場 50%）,正常市場,過渡市場,650.6075439453125,2026-02-19,684.47998046875,0.05206277861156292,5.206277861156292
