date,from_position,to_position,from_state,to_state,position_change,index_price,correlation,high_threshold,low_threshold,change_type
2025-03-17,0.5,0.0,過渡市場,危機市場,-0.5,560.5671997070312,0.6038886629307205,0.59665571010482,0.47621319175931015,減倉（50% → 空手）
2025-03-19,0.0,0.5,危機市場,過渡市場,0.5,560.54736328125,0.5684387414083564,0.5987166917126481,0.47651276542812865,加倉（空手 → 50%）
2025-04-03,0.5,0.0,過渡市場,危機市場,-0.5,532.06640625,0.6367711357616945,0.5971515335054813,0.479135815871401,減倉（50% → 空手）
2025-07-01,0.0,0.5,危機市場,過渡市場,0.5,614.127685546875,0.8544559957581183,0.8556131926265151,0.4899408621804595,加倉（空手 → 50%）
2025-08-21,0.5,1.0,過渡市場,正常市場,0.5,631.925537109375,0.4815692512487468,0.8531888962882959,0.4965198891664937,加倉（50% → 100%）
2025-08-22,1.0,0.5,正常市場,過渡市場,-0.5,641.6299438476562,0.49746503483370585,0.8531602070112474,0.49416380670943505,減倉（100% → 50%）
2025-08-29,0.5,1.0,過渡市場,正常市場,0.5,641.3713989257812,0.4901692855641189,0.8529563209784167,0.49597629890303624,加倉（50% → 100%）
2025-09-26,1.0,0.5,正常市場,過渡市場,-0.5,659.8701782226562,0.47706680280101704,0.8517779806582283,0.47681233909694715,減倉（100% → 50%）
2025-09-29,0.5,1.0,過渡市場,正常市場,0.5,661.7246704101562,0.4704895991917586,0.8517459690239431,0.4768377854673541,加倉（50% → 100%）
2025-10-10,1.0,0.5,正常市場,過渡市場,-0.5,651.0960693359375,0.5222752604090692,0.8514578643153755,0.47290988615478763,減倉（100% → 50%）
2025-11-05,0.5,1.0,過渡市場,正常市場,0.5,675.583740234375,0.47398283412768105,0.8498899329825568,0.47447714751769515,加倉（50% → 100%）
2025-11-10,1.0,0.5,正常市場,過渡市場,-0.5,679.432373046875,0.47971526919111396,0.8495765933642062,0.47301718095207695,減倉（100% → 50%）
2025-11-18,0.5,1.0,過渡市場,正常市場,0.5,658.1353149414062,0.4695714602372489,0.8494074508510795,0.473660949735813,加倉（50% → 100%）
2025-11-20,1.0,0.5,正常市場,過渡市場,-0.5,650.6075439453125,0.4842223860366018,0.8493510700133706,0.4716494927806234,減倉（100% → 50%）
2026-01-07,0.5,1.0,過渡市場,正常市場,0.5,689.5800170898438,0.4613586514904401,0.8473131843638493,0.47414108478299105,加倉（50% → 100%）
2026-02-06,1.0,0.5,正常市場,過渡市場,-0.5,690.6199951171875,0.4699678987640534,0.8449770166348766,0.45629390102761164,減倉（100% → 50%）
2026-02-20,0.5,1.0,過渡市場,正常市場,0.5,689.4299926757812,0.45034346489130694,0.8433716842525802,0.4567013063338702,加倉（50% → 100%）
